0,1,2,3,4,5,6,7,8,9
,"bd02a4533206c6c8b91f0e751f5e77acc0dbe0dc4cb971739d9f6b98fce204cc
",13187849,2021-09-13 03:13:05 +0000 UTC,3 months ago,io1p2leascsqxdjaq8s9yn3cvvrh9m365wnl8r8yr,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.052757
,"2220d8cad9a8c7a66d097f705936fa1aa07f170627492b4086f9d200a1d43100
",13183350,2021-09-12 20:57:55 +0000 UTC,3 months ago,io15malvajwhvnvhlmhyjrc4ek7d0qp7amgzu8k6y,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.257434
,"108060c68df0614a43c836777bdd377290b45fe232c1f834edb5d79d9533b268
",13181662,2021-09-12 18:37:15 +0000 UTC,3 months ago,io15malvajwhvnvhlmhyjrc4ek7d0qp7amgzu8k6y,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,15.684706 IOTX,0.147204
,"c863ffd0b2c838780adaf522e2d275a33386e76dd5371e1f36af8265e378f8c7
",13180059,2021-09-12 16:23:40 +0000 UTC,3 months ago,io15q6rtpr4vwqe5mpgp3saq5wdjulxv5w9gacv9t,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.038871
,"b0c57a96ff1a4970b2e5c53c616b4698d5964b0572db4c1a7d39a97db5319c74
",13179967,2021-09-12 16:16:00 +0000 UTC,3 months ago,io15q6rtpr4vwqe5mpgp3saq5wdjulxv5w9gacv9t,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.242434
,"4b2a856ea0db1835134d24ea7a534f32201a781333c84bcbc0d6aaac7224774c
",13177863,2021-09-12 13:20:40 +0000 UTC,3 months ago,io1ewsvs36knr9spfa3a85dl3xydt2ypm9fxv4rjm,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.257434
,"e1d644374ed55355208af11a16bd0754d290a228f62773697ee0265933879c88
",13174879,2021-09-12 09:12:00 +0000 UTC,3 months ago,io1p2leascsqxdjaq8s9yn3cvvrh9m365wnl8r8yr,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.257434
,"0502eba3cab8561c4d9d96b55e0b93c870ed3ce4d685f6936ccf96520f2af283
",13173141,2021-09-12 06:47:10 +0000 UTC,3 months ago,io1p2leascsqxdjaq8s9yn3cvvrh9m365wnl8r8yr,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.052757
,"3e13ddf6bbf679fb2d358c05cbea540a0b3154e5edd66af26cf2e4d70c844796
",13166074,2021-09-11 20:57:40 +0000 UTC,3 months ago,io1ewsvs36knr9spfa3a85dl3xydt2ypm9fxv4rjm,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.303748
,"05f183eeb49d975af4c9f0bc1dba06bc129b2dd7e8357a8d91b708b29eeab380
",13164305,2021-09-11 18:30:15 +0000 UTC,3 months ago,io1ewsvs36knr9spfa3a85dl3xydt2ypm9fxv4rjm,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.257434
,"18f11dbf6ffd31f4d423ac2fdc29709139273a38468a6c50ea19d3144ed15b14
",13163536,2021-09-11 17:26:10 +0000 UTC,3 months ago,io1ewsvs36knr9spfa3a85dl3xydt2ypm9fxv4rjm,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.257434
,"0e5a304ce8650db9b0ba53c8e0e6589f04be0e5f369c0d96b2dd48df5e5a7389
",13160350,2021-09-11 13:00:40 +0000 UTC,3 months ago,io1dg35s8w76fhd8thx26vtyrx4a6c70dltu0395s,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.303748
,"625ec25b7b68b274e8d7c44f625f2c819c4c53dcf9e57a6394c46530d16bab58
",13156858,2021-09-11 08:09:40 +0000 UTC,3 months ago,io1p2leascsqxdjaq8s9yn3cvvrh9m365wnl8r8yr,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.257434
,"863ca1ff8fdd07e6beed4a77742b71e123a59b92fbaace4ae5f95de158ac80f6
",13156687,2021-09-11 07:55:25 +0000 UTC,3 months ago,io1p2leascsqxdjaq8s9yn3cvvrh9m365wnl8r8yr,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.257434
,"93842519c47a35378b4d85f30e7e631b6f63cc4e8a86744536e6e47bf9944b63
",13156613,2021-09-11 07:49:15 +0000 UTC,3 months ago,io1p2leascsqxdjaq8s9yn3cvvrh9m365wnl8r8yr,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.257434
,"ecf02bc7583ce9797a66e63ff5149045a5a937e08970a7d6a9bae6943da584ca
",13156447,2021-09-11 07:35:25 +0000 UTC,3 months ago,io1p2leascsqxdjaq8s9yn3cvvrh9m365wnl8r8yr,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.031371
,"e062e34ebff0a0ab4362b64388a3514969d8a910377f6795dc0ec4c98036e7e0
",13156393,2021-09-11 07:30:55 +0000 UTC,3 months ago,io1p2leascsqxdjaq8s9yn3cvvrh9m365wnl8r8yr,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.257434
,"080972d79ca5bbe4692b8bb7a26d6b26fc0cc7ff2b4d1404f9a28f7d05748c47
",13155605,2021-09-11 06:25:15 +0000 UTC,3 months ago,io1p2leascsqxdjaq8s9yn3cvvrh9m365wnl8r8yr,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.117207
,"593cb3130331a2108cdbe8eb908e5caf2d8671003a7b9534e3d05c34e6128e05
",13146531,2021-09-10 17:49:05 +0000 UTC,3 months ago,io1qs36df2jv5fz7psxak9aryx0dewnct5almnlrk,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.26816
,"64145a27d4c2524cd49f5f762eabdfc24606f5c69287af17040d92d026aa2d3b
",13146494,2021-09-10 17:46:00 +0000 UTC,3 months ago,io1lkl4tyr5405ywkh3ntm3l756p334utce9wyhck,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.042213
,"0bb2d6a7b296eee8f6fe64af576dc18f95a1798d5a76cbba1ecc18148f209871
",13146429,2021-09-10 17:40:35 +0000 UTC,3 months ago,io1qs36df2jv5fz7psxak9aryx0dewnct5almnlrk,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.303748
,"d71341a66879c618090506f0397e56685bf3feb3d7d3555a17f85cc1156cbea5
",13146015,2021-09-10 17:06:05 +0000 UTC,3 months ago,io1p2leascsqxdjaq8s9yn3cvvrh9m365wnl8r8yr,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.052757
,"11487aa43507878b7db967c4afec319a382a1630c2030dcaff18e30d66ae4d03
",13144089,2021-09-10 14:25:35 +0000 UTC,3 months ago,io1p2leascsqxdjaq8s9yn3cvvrh9m365wnl8r8yr,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.052757
,"73007c5615ce30790d7e241d31e8ff61bced1973bae633460e707305cf57e24d
",13143819,2021-09-10 14:03:05 +0000 UTC,3 months ago,io1ewsvs36knr9spfa3a85dl3xydt2ypm9fxv4rjm,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.052757
,"8c22f7b163446979cfb96bdde8422527d813383b0c57ba1eb90e9b148dd4364e
",13142930,2021-09-10 12:49:00 +0000 UTC,3 months ago,io1ewsvs36knr9spfa3a85dl3xydt2ypm9fxv4rjm,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.257434
,"fd6f1a662fb52f7bd74693411822a95d9c088901432b5b088f2bb81d6380e5cf
",13141920,2021-09-10 11:24:50 +0000 UTC,3 months ago,io1ewsvs36knr9spfa3a85dl3xydt2ypm9fxv4rjm,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.257434
,"e2715e41345116cc7501142bb9cc134f37467923e3cb0f944cae14abcc0f9850
",13141841,2021-09-10 11:18:15 +0000 UTC,3 months ago,io1ewsvs36knr9spfa3a85dl3xydt2ypm9fxv4rjm,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.303748
,"3760c9dd9e740e57fbc66bae8856d5a6166f55036dbd24ca0557b6e33221ed1c
",13141821,2021-09-10 11:16:35 +0000 UTC,3 months ago,io1ewsvs36knr9spfa3a85dl3xydt2ypm9fxv4rjm,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.303748
,"a02062e5db43b69917c686e4024c58a5f2ee2f437083a45fd0668fbfe2de8210
",13140269,2021-09-10 09:07:15 +0000 UTC,3 months ago,io1p2leascsqxdjaq8s9yn3cvvrh9m365wnl8r8yr,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.303748
,"da7ca3ff37fc14c7380239b8df1b96ad33efa587250fbefb0a92c18041529f7c
",13140070,2021-09-10 08:50:40 +0000 UTC,3 months ago,io18nryjw4jqlcdpvty0lnupmg2hlkk0enwakhv3t,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.052757
,"bf40cd502528436391b12d79d8a60e7baadfaac833666eae62194aa771575a6e
",13139666,2021-09-10 08:17:00 +0000 UTC,3 months ago,io1ewsvs36knr9spfa3a85dl3xydt2ypm9fxv4rjm,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.257434
,"1098881a1da6d83786093b979dd15f7cc5278676ba4129c2916aa20683ed5df2
",13139327,2021-09-10 07:48:45 +0000 UTC,3 months ago,io18nryjw4jqlcdpvty0lnupmg2hlkk0enwakhv3t,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.052757
,"46b851eb4499654bedf44a4e79ba96522f1083c6e28b07b8d01609972628cf61
",13139317,2021-09-10 07:47:55 +0000 UTC,3 months ago,io18nryjw4jqlcdpvty0lnupmg2hlkk0enwakhv3t,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.052757
,"79a00aa78c8074c858c7cec575bf475ab7dc59d8020ed5a56aaecd6e6bb59b75
",13139303,2021-09-10 07:46:45 +0000 UTC,3 months ago,io18nryjw4jqlcdpvty0lnupmg2hlkk0enwakhv3t,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.052757
,"c5be14157906ee70a825fedce39a9fc07dbd3dcbf76e3e452b8aa4515f821a6b
",13139292,2021-09-10 07:45:50 +0000 UTC,3 months ago,io18nryjw4jqlcdpvty0lnupmg2hlkk0enwakhv3t,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.052757
