0,1,2,3,4,5,6,7,8,9
,"9dfcba60539d1324eb23aeba310e1e224799cf4b850255a01c840e2375f4f12f
",14541899,2021-11-30 16:44:55 +0000 UTC,20 days ago,io1h6w275s5s4mrkyqatv2es244vv7yptnvnkmlfl,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,1.025 IOTX,0.186269
,"b41be02c2cfb1d0fd1ac09e3bb43c45ec3b48c3e92aaedae7b809384857562c9
",14541785,2021-11-30 16:35:25 +0000 UTC,20 days ago,io1h6w275s5s4mrkyqatv2es244vv7yptnvnkmlfl,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.027877
,"77083780a6227f17207e781f5e68afa6bcb8ee60aadac22b98fd05e242d1e0a3
",14519752,2021-11-29 09:49:15 +0000 UTC,21 days ago,io1p2leascsqxdjaq8s9yn3cvvrh9m365wnl8r8yr,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.052757
,"674a7af04ae6ce1f4cfaee302ce84b6a8b9cae9d05cf157cb271785bc4372d2b
",14519730,2021-11-29 09:47:25 +0000 UTC,21 days ago,io1p2leascsqxdjaq8s9yn3cvvrh9m365wnl8r8yr,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.052757
,"4486d2c5b0ddef236b0d385b9ee74947c0af5de677305416141a6bf79efb2f9f
",14519638,2021-11-29 09:39:45 +0000 UTC,21 days ago,io1vekz0g8rat8yrjc469dr28j0feh222sjrqu885,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.038871
,"2332d713a905a2f79e2888d2c2c03e186911b98e3d9611e0d264a72dea03744b
",14519627,2021-11-29 09:38:50 +0000 UTC,21 days ago,io1vekz0g8rat8yrjc469dr28j0feh222sjrqu885,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.242434
,"6a595bad98e2899fb0c884c756a9cf91b979044aea7badf8b480bf0b5cf019d7
",14518594,2021-11-29 08:12:45 +0000 UTC,21 days ago,io1lscxzg3utc7r4z5zghf949x78h39qf9da5plsy,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.052757
,"d7b7d9c5ce108ab72bd90fdd5656863b24c756851de0d218c98a69af716b21d6
",14518536,2021-11-29 08:07:55 +0000 UTC,21 days ago,io1lscxzg3utc7r4z5zghf949x78h39qf9da5plsy,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.052757
,"19f27e6298c1888da44828a2638b0928c75a642fc4dc29a9f2d04eb19750a023
",14518518,2021-11-29 08:06:25 +0000 UTC,21 days ago,io1lscxzg3utc7r4z5zghf949x78h39qf9da5plsy,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.052757
,"e349dfcab7a4e89a4951fcc3fce3c9d497c735d5617c290c271dce7e5c87a743
",14518503,2021-11-29 08:05:10 +0000 UTC,21 days ago,io1lscxzg3utc7r4z5zghf949x78h39qf9da5plsy,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.052757
,"26a7f9497b479b1aee48f9b2e37acafec4008d89f894d1f54653e696781562e0
",14509809,2021-11-28 19:58:05 +0000 UTC,22 days ago,io1lkl4tyr5405ywkh3ntm3l756p334utce9wyhck,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.042213
,"156aed861f0a943f3e795fe04e8c1458774f7fabcc312aa73b54b987732d5dae
",14454864,2021-11-25 15:15:05 +0000 UTC,25 days ago,io1mpfaa05wn27kzzjgyuhejk2ls8fmr2x5up8y8a,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.052757
,"aa4b85203a862a230772de80097daaa1382338603e8bcb7eac890bd64f2028df
",14454255,2021-11-25 14:24:20 +0000 UTC,25 days ago,io1mpfaa05wn27kzzjgyuhejk2ls8fmr2x5up8y8a,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.052757
,"7a511556fbeac0f40a5d5edde1cc0854f6ca42660ddc2622889db46fac92e24a
",14454232,2021-11-25 14:22:25 +0000 UTC,25 days ago,io1mpfaa05wn27kzzjgyuhejk2ls8fmr2x5up8y8a,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.052757
,"f6ee79188f76a4efc91caf460fc54674af4ae7be0ed40f6efbc193880d6a67e3
",14454224,2021-11-25 14:21:45 +0000 UTC,25 days ago,io1mpfaa05wn27kzzjgyuhejk2ls8fmr2x5up8y8a,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.052757
,"7bdddc84fb370a3a88dc88f04aa1488b61d7fec3b5d2a8df40aee34c707e70b1
",14454215,2021-11-25 14:21:00 +0000 UTC,25 days ago,io1mpfaa05wn27kzzjgyuhejk2ls8fmr2x5up8y8a,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.052757
,"e9e1a1ea010f51644db75016fc7dbd98fcfd2f043026a8510a51e7243704baa6
",14432637,2021-11-24 08:11:50 +0000 UTC,26 days ago,io1lscxzg3utc7r4z5zghf949x78h39qf9da5plsy,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.303748
,"ed0ebcc603613b1368036e7fb3c94de64e4f638659013498e1e1a3a8c4f6253c
",14432589,2021-11-24 08:07:50 +0000 UTC,26 days ago,io1lscxzg3utc7r4z5zghf949x78h39qf9da5plsy,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.052757
,"4e23f9b3dcdc91f0daacce05a4d43c7808dced748915d6d0cd97f6e8a4742119
",14432582,2021-11-24 08:07:15 +0000 UTC,26 days ago,io1lscxzg3utc7r4z5zghf949x78h39qf9da5plsy,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.052757
,"cc4eac91c564ad7c503b40091ae0161cd909d3bfb981befe1f0edb0cd0dad3c7
",14432568,2021-11-24 08:06:05 +0000 UTC,26 days ago,io1lscxzg3utc7r4z5zghf949x78h39qf9da5plsy,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.052757
,"c584767d14a64108f351af8ecde64c8752f0f9ae56d29c55b1197edd3e3c7a60
",14431553,2021-11-24 06:41:30 +0000 UTC,26 days ago,io1h6w275s5s4mrkyqatv2es244vv7yptnvnkmlfl,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,1.025 IOTX,0.186269
,"e29e97ab875a1c47860db2993b4940f42e92b583d64255cdb138992b6ea24b9b
",14431538,2021-11-24 06:40:15 +0000 UTC,26 days ago,io1h6w275s5s4mrkyqatv2es244vv7yptnvnkmlfl,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,1.845 IOTX,0.186269
,"402ec5ee3d0a4b1e4a24ea0a4314e47177b27003c31b74a9d3c2345654205f88
",14431527,2021-11-24 06:39:20 +0000 UTC,26 days ago,io1h6w275s5s4mrkyqatv2es244vv7yptnvnkmlfl,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0.68265 IOTX,0.186269
,"05850955f9087655c4cb500bd9ccf3b56a0120d53871abb76bdb0a0965e88be4
",14431506,2021-11-24 06:37:35 +0000 UTC,26 days ago,io1h6w275s5s4mrkyqatv2es244vv7yptnvnkmlfl,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,10.25 IOTX,0.186269
,"e23d592b187ac31a120e6ad57656c0f387892643e1531f5dfd56dcf686ba3271
",14421937,2021-11-23 17:17:20 +0000 UTC,27 days ago,io1dsasfq2xvyrhj23gav7m39l7usyrvjryckrryp,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.038871
,"3913bce64a492b829644a5d219aaee8d3b0cd8c364ee9e46d28cc8dc243bd705
",14421922,2021-11-23 17:16:00 +0000 UTC,27 days ago,io1dsasfq2xvyrhj23gav7m39l7usyrvjryckrryp,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,0 IOTX,0.038871
,"11b7dae818fa4bd71eaa99ccb8449ee26ed6d65eb0646633e61e2f639e659d2c
",14416496,2021-11-23 09:39:25 +0000 UTC,27 days ago,io105h9fscxdz97z6r8e7wgt6rv5skjvk625lyn06,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,307.5 IOTX,0.186128
,"c8ff53ed03c21c884fd3cf2d753239a015bce0a625afa2e73fc5e7607b615ff8
",14416491,2021-11-23 09:39:00 +0000 UTC,27 days ago,io105h9fscxdz97z6r8e7wgt6rv5skjvk625lyn06,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,307.5 IOTX,0.186128
,"cfbd0b33f3ebde7445e846166de29e870d72bc130f4afe376df48dfa8178d12c
",14416488,2021-11-23 09:38:45 +0000 UTC,27 days ago,io105h9fscxdz97z6r8e7wgt6rv5skjvk625lyn06,, io1gc27duq6mnwfmgf5mr9qurlhgjfckte5zjs7kx,307.5 IOTX,0.186128
